step,r1x,r1y,r2x,r2y
0,1.4647112080363451,0.24858053320743545,1.4517109914675648,-0.9605508512612126
1,1.4680446938391958,0.4104519877374817,1.4596642875264334,-1.031053880347268
2,1.4713249675399784,0.5615447489640244,1.4383890916030724,-1.099232810428112
3,1.473634178275798,0.6669926221887843,1.425450185060343,-1.1221196659702313
4,1.4746146406399951,0.7116660293190711,1.408555296710257,-1.2661804801493477
5,1.4754144315996456,0.8055936538968054,1.4394096641510155,-1.3723353099000304
6,1.4731232016662477,0.9365402061288141,1.4577070841881712,-1.4180281364596259
7,1.4712442151175633,1.0052035989279013,1.4452888981976786,-1.4515078274112652
8,1.470091986278348,1.0426948080743457,1.3261359668304482,-1.485186617519227
9,1.4696900631260774,1.1925181649355177,1.254281463568183,-1.472461149267395
10,1.4714050540229522,1.2945456280068637,1.2290020442714704,-1.4642753726551256
11,1.4723313510781482,1.3368255879182231,1.1236525904333239,-1.4507549698535829
12,1.4206254949772006,1.4196071738120073,1.0762004145405424,-1.457408246814498
13,1.267763321805712,1.4619793677716535,1.0167940505218023,-1.4448302551971854
14,1.1297791454508914,1.4739583915210686,0.9563355014243711,-1.3275580686085342
15,1.050478801681675,1.477976303200299,0.9471236253709656,-1.248732411350832
16,1.0212592737459172,1.4791429240961995,0.9468337934049795,-1.2191966797418723
17,0.8722403925996998,1.4742709732682435,0.9485645596231159,-1.115655131007335
18,0.7160592117211041,1.4595723047462916,0.9490734611974541,-1.0631026898053793
19,0.592118039642209,1.4465684525564635,0.9497083620626732,-1.0092757964127945
20,0.5311174925837382,1.4400218313572242,0.9519159831087076,-0.9432582056872338
21,0.48312243378703495,1.435404668112066,0.9528394997877097,-0.8932558663359407
22,0.32708449568832565,1.4435454593845802,0.8958060015776454,-0.7428513269790987
23,0.20511933160479826,1.4593502353474084,0.8151894503572261,-0.6030405302299202
24,0.14609945112755401,1.4680362613266285,0.733564986693835,-0.46778977029281654
25,0.0854515019270472,1.475846635234997,0.6631774807820143,-0.35191767718540656
26,-0.0724585043185102,1.4751318460310503,0.6236201695780692,-0.2868826645437543
27,-0.20177624446777542,1.4671581826700826,0.6092031302785311,-0.26318929740562946
28,-0.2685560023422237,1.4622261064949005,0.4666473217945303,-0.21183751175129956
29,-0.3055340553804141,1.4593393589056243,0.31065895057945975,-0.2359189119488752
30,-0.46656328388510365,1.4580335167507632,0.1782719233114978,-0.26641261298882263
31,-0.6122486451426596,1.4628872273749582,0.10392819387566488,-0.2846770778629304
32,-0.7047535919297255,1.4666632611668575,0.07682036100316227,-0.29146258761060667
33,-0.7410483461101176,1.4682203407469745,-0.03548687591745085,-0.3943992365789686
34,-0.8495920692346541,1.4216977079014028,-0.09306835422556259,-0.5203373294922269
35,-0.9462349064243384,1.2945586739658448,-0.12099389577648464,-0.5965055143714882
36,-1.018362618742989,1.174539937483047,-0.13074799424961758,-0.625109093800509
37,-1.0590340226299053,1.1035324404260045,-0.1564046453342015,-0.7693890987772797
38,-1.0740096766735805,1.0770085003735,-0.16301533586522265,-0.9188034045591269
39,-1.1599804284304804,0.9566101822617485,-0.16499404214630312,-1.0230750952426293
40,-1.2580976490187465,0.8443733720770825,-0.16554641580418908,-1.0672145016910255
41,-1.3254645571934545,0.770251893737891,-0.15687690187592354,-1.1622428502512623
42,-1.3532184667238685,0.7400272394784311,-0.11605329865642139,-1.3065991744153642
43,-1.409640720469848,0.6470239345794914,-0.08143028753294296,-1.4066288309619779
44,-1.4492274126438387,0.4967850742853863,-0.06599590422093361,-1.4492004379748402
45,-1.470947920871485,0.37918296681226377,-0.009667217552223608,-1.4975433958215407
46,-1.4802151201267977,0.3236363980297769,0.11989057696013027,-1.4835632131952574
47,-1.4873792487711905,0.2651416171864706,0.18796657497706398,-1.4539474135620558
48,-1.4751830287524337,0.12119836200722517,0.21161911202735417,-1.440953654853302
49,-1.45827480874105,0.03203273728671994,0.3251900540778675,-1.4307233887833561
50,-1.45070389096853,-0.0024345572040413432,0.38256438849221963,-1.4529318501105795
51,-1.3754230704042203,0.01029045585328237,0.3852380054428905,-1.4557456898669177
52,-1.249522411141869,0.1125780366862284,0.43216279773974065,-1.3462226436377802
53,-1.1434550902515823,0.236168303364941,0.40656810660908393,-1.245920806154416
54,-1.0429798755444075,0.35873346661833383,0.38781461194764993,-1.2054314901954217
55,-0.9598532726911186,0.46083340237840226,0.34562202039641843,-1.1235122598463048
56,-0.9159700436246985,0.514810110651598,0.29388342449803834,-1.010471301404766
57,-0.8918917685094987,0.5444410097290661,0.2692353969932762,-0.9538430329034072
