,step,r1x,r1y,r2x,r2y
0,0,3.464711208036345,2.2485805332074356,3.4517109914675648,1.0394491487387874
1,1,3.468044693839196,2.4104519877374817,3.4596642875264334,0.968946119652732
2,2,3.4713249675399784,2.5615447489640246,3.4383890916030726,0.9007671895718881
3,3,3.4736341782757982,2.6669926221887845,3.4254501850603427,0.8778803340297687
4,4,3.474614640639995,2.711666029319071,3.408555296710257,0.7338195198506523
5,5,3.4754144315996456,2.805593653896805,3.4394096641510155,0.6276646900999696
6,6,3.4731232016662474,2.936540206128814,3.457707084188171,0.5819718635403739
7,7,3.4712442151175633,3.005203598927901,3.4452888981976786,0.5484921725887348
8,8,3.470091986278348,3.0426948080743457,3.3261359668304484,0.514813382480773
9,9,3.4696900631260776,3.1925181649355174,3.2542814635681827,0.5275388507326051
10,10,3.471405054022952,3.2945456280068637,3.2290020442714704,0.5357246273448744
11,11,3.4723313510781484,3.336825587918223,3.1236525904333243,0.5492450301464171
12,12,3.420625494977201,3.4196071738120075,3.0762004145405424,0.542591753185502
13,13,3.2677633218057123,3.4619793677716535,3.0167940505218027,0.5551697448028146
14,14,3.1297791454508914,3.4739583915210686,2.956335501424371,0.6724419313914658
15,15,3.050478801681675,3.477976303200299,2.9471236253709656,0.751267588649168
16,16,3.021259273745917,3.4791429240961995,2.9468337934049798,0.7808033202581277
17,17,2.8722403925997,3.4742709732682435,2.948564559623116,0.884344868992665
18,18,2.716059211721104,3.459572304746292,2.949073461197454,0.9368973101946207
19,19,2.5921180396422088,3.4465684525564635,2.9497083620626734,0.9907242035872057
20,20,2.5311174925837383,3.440021831357224,2.951915983108708,1.0567417943127662
21,21,2.483122433787035,3.4354046681120662,2.95283949978771,1.1067441336640593
22,22,2.3270844956883256,3.4435454593845805,2.8958060015776454,1.2571486730209012
23,23,2.205119331604798,3.4593502353474084,2.8151894503572263,1.3969594697700798
24,24,2.146099451127554,3.4680362613266285,2.733564986693835,1.5322102297071836
25,25,2.0854515019270474,3.475846635234997,2.6631774807820143,1.6480823228145935
26,26,1.9275414956814898,3.4751318460310503,2.623620169578069,1.7131173354562457
27,27,1.7982237555322247,3.4671581826700826,2.609203130278531,1.7368107025943706
28,28,1.7314439976577762,3.4622261064949003,2.46664732179453,1.7881624882487004
29,29,1.6944659446195858,3.4593393589056243,2.3106589505794597,1.7640810880511248
30,30,1.5334367161148963,3.4580335167507634,2.178271923311498,1.7335873870111773
31,31,1.3877513548573404,3.4628872273749582,2.1039281938756647,1.7153229221370696
32,32,1.2952464080702746,3.4666632611668575,2.076820361003162,1.7085374123893935
33,33,1.2589516538898824,3.4682203407469743,1.9645131240825493,1.6056007634210314
34,34,1.1504079307653459,3.421697707901403,1.9069316457744374,1.4796626705077731
35,35,1.0537650935756617,3.294558673965845,1.8790061042235153,1.4034944856285119
