# samples,smse,msll,nlpd,rmse,mae
36.00000000,0.57106313,-0.11845088,5.47244561,48.63842127,40.20001042
41.00000000,0.55907263,-0.12942887,5.45479276,48.12508679,39.43162274
41.00000000,0.55329317,-0.13598647,5.44823516,47.87569203,39.07677744
41.00000000,0.55329317,-0.13598647,5.44823516,47.87569203,39.07677744
45.00000000,0.52151107,-0.15742784,5.42701338,46.48032715,37.33853083
45.00000000,0.51762733,-0.16291436,5.42152686,46.30693189,37.09730323
50.00000000,0.51032426,-0.17944011,5.41355636,45.97910521,36.49540491
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
50.00000000,0.50633124,-0.19354070,5.39945578,45.79887097,36.25099978
