# samples,smse,msll,nlpd,rmse,mae
33.00000000,0.82445781,-0.43777714,5.20181235,44.38291130,30.20370415
37.00000000,0.82445781,-0.43724179,5.20234769,44.38291130,30.20370415
37.00000000,0.81874183,-0.51822670,5.19649933,44.22879005,29.85652289
37.00000000,0.81874183,-0.51822670,5.19649933,44.22879005,29.85652289
41.00000000,0.81199435,-0.57901047,5.18815259,44.04616200,29.30244838
41.00000000,0.81128792,-0.57652241,5.19064064,44.02699796,29.27633975
46.00000000,0.80820857,-0.66635606,5.18663272,43.94336341,28.96831411
46.00000000,0.80715632,-0.66215119,5.19083760,43.91474789,28.92864635
50.00000000,0.80715632,-0.66215119,5.19083760,43.91474789,28.92864635
50.00000000,0.80622629,-0.74464813,5.19360962,43.88944077,28.88402807
50.00000000,0.80622629,-0.74464813,5.19360962,43.88944077,28.88402807
54.00000000,0.79777514,-0.80240019,5.19024371,43.65880229,28.20969365
54.00000000,0.79653990,-0.80450370,5.18814021,43.62498966,28.14818883
54.00000000,0.79653990,-0.80450370,5.18814021,43.62498966,28.14818883
58.00000000,0.79309944,-0.87731892,5.18969192,43.53067384,27.84113581
58.00000000,0.79268580,-0.87797360,5.18903724,43.51932073,27.82550481
58.00000000,0.79268580,-0.87797360,5.18903724,43.51932073,27.82550481
62.00000000,0.79017855,-0.95694592,5.19346082,43.45044084,27.68255264
62.00000000,0.79017855,-0.95694592,5.19346082,43.45044084,27.68255264
67.00000000,0.79104194,-0.95218710,5.19821964,43.47417238,27.72568007
67.00000000,0.78855958,-1.00393691,5.20371037,43.40590589,27.62480167
67.00000000,0.78855958,-1.00393691,5.20371037,43.40590589,27.62480167
70.00000000,0.78628828,-1.04234156,5.21027203,43.34334953,27.55335064
70.00000000,0.78628828,-1.04234156,5.21027203,43.34334953,27.55335064
70.00000000,0.78628828,-1.04234156,5.21027203,43.34334953,27.55335064
73.00000000,0.77480548,-0.95383803,5.20704364,43.02569661,27.27394314
73.00000000,0.77480548,-0.95383803,5.20704364,43.02569661,27.27394314
73.00000000,0.77480548,-0.95383803,5.20704364,43.02569661,27.27394314
77.00000000,0.79080371,-0.94149984,5.25437422,43.46762573,27.56824630
80.00000000,0.79080371,-0.94149984,5.25437422,43.46762573,27.56824630
80.00000000,0.74996211,-0.86862898,5.22837304,42.33028861,26.86573641
80.00000000,0.74996211,-0.86862898,5.22837304,42.33028861,26.86573641
85.00000000,0.74996211,-0.86862898,5.22837304,42.33028861,26.86573641
85.00000000,0.60828408,-0.37016041,5.06082549,38.12280026,24.39336274
85.00000000,0.60828408,-0.37016041,5.06082549,38.12280026,24.39336274
85.00000000,0.60828408,-0.37016041,5.06082549,38.12280026,24.39336274
85.00000000,0.60828408,-0.37016041,5.06082549,38.12280026,24.39336274
87.00000000,0.59466077,-0.30435682,5.04175195,37.69347827,24.04827533
87.00000000,0.59466077,-0.30435682,5.04175195,37.69347827,24.04827533
91.00000000,0.59328406,-0.30680803,5.03930074,37.64982058,23.99774735
91.00000000,0.53489146,-0.35891308,4.94982128,35.74904127,22.49191573
91.00000000,0.53489146,-0.35891308,4.94982128,35.74904127,22.49191573
91.00000000,0.53489146,-0.35891308,4.94982128,35.74904127,22.49191573
94.00000000,0.53117757,-0.36785216,4.94295124,35.62471767,22.37738336
94.00000000,0.53117757,-0.36785216,4.94295124,35.62471767,22.37738336
