# samples,smse,msll,nlpd,rmse,mae
24.00000000,1.00186093,-0.42699016,5.30847229,48.92550194,32.18346891
24.00000000,1.00126658,-0.42764887,5.30781358,48.91098737,32.16350780
24.00000000,1.00126658,-0.42764887,5.30781358,48.91098737,32.16350780
24.00000000,1.00126658,-0.42764887,5.30781358,48.91098737,32.16350780
27.00000000,0.99945152,-0.54959704,5.30754359,48.86663510,32.01939536
27.00000000,0.99945152,-0.54959704,5.30754359,48.86663510,32.01939536
31.00000000,0.99945152,-0.54959704,5.30754359,48.86663510,32.01939536
31.00000000,0.99756017,-0.71316887,5.30829082,48.82037588,31.93709431
31.00000000,0.99756017,-0.71316887,5.30829082,48.82037588,31.93709431
31.00000000,0.99756017,-0.71316887,5.30829082,48.82037588,31.93709431
35.00000000,0.99568405,-0.87217348,5.30931896,48.77444596,31.84919981
35.00000000,0.99590115,-0.87193912,5.30955332,48.77976292,31.85875259
35.00000000,0.99590115,-0.87193912,5.30955332,48.77976292,31.85875259
38.00000000,0.99575594,-1.00108270,5.31333252,48.77620669,31.82444975
38.00000000,0.99444671,-1.00293526,5.31147997,48.74413048,31.77467357
38.00000000,0.99444671,-1.00293526,5.31147997,48.74413048,31.77467357
45.00000000,0.99505564,-1.00010794,5.31430729,48.75905179,31.80025086
45.00000000,0.99193141,-1.28715341,5.31997081,48.68244601,31.62669836
45.00000000,0.99123187,-1.28835467,5.31876956,48.66527675,31.60211896
45.00000000,0.99123187,-1.28835467,5.31876956,48.66527675,31.60211896
49.00000000,0.99135042,-1.38896524,5.32794662,48.66818693,31.60068842
49.00000000,0.98955739,-1.39207547,5.32483639,48.62415440,31.52925044
49.00000000,0.98955739,-1.39207547,5.32483639,48.62415440,31.52925044
55.00000000,0.98955739,-1.39207547,5.32483639,48.62415440,31.52925044
55.00000000,0.98707941,-1.56104574,5.33582214,48.56323576,31.33656092
55.00000000,0.98614570,-1.55951955,5.33734833,48.54026147,31.30434545
55.00000000,0.98614570,-1.55951955,5.33734833,48.54026147,31.30434545
61.00000000,0.98181531,-1.74639937,5.34598162,48.43356864,30.99216477
61.00000000,0.98030131,-1.74123781,5.35114319,48.39621082,30.93419521
65.00000000,0.97862054,-1.89475676,5.35218534,48.35470424,30.73119222
65.00000000,0.97697877,-1.88544928,5.36149282,48.31412643,30.65862186
65.00000000,0.97697877,-1.88544928,5.36149282,48.31412643,30.65862186
65.00000000,0.97697877,-1.88544928,5.36149282,48.31412643,30.65862186
65.00000000,0.97697877,-1.88544928,5.36149282,48.31412643,30.65862186
69.00000000,0.97644386,-2.02505818,5.37373257,48.30089842,30.48228624
69.00000000,0.97439867,-2.02497075,5.37382000,48.25028811,30.37889684
75.00000000,0.97412208,-2.24979607,5.38676822,48.24343943,30.26655676
