# samples,smse,msll,nlpd,rmse,mae
38.00000000,0.61160904,-0.28444972,5.25329320,45.64453596,38.88350367
41.00000000,0.58598874,-0.29895773,5.23312817,44.67828378,38.03904181
41.00000000,0.58598874,-0.29895773,5.23312817,44.67828378,38.03904181
41.00000000,0.58598874,-0.29895773,5.23312817,44.67828378,38.03904181
45.00000000,0.59658933,-0.32087953,5.23239186,45.08058966,38.39015259
45.00000000,0.59658933,-0.32087953,5.23239186,45.08058966,38.39015259
49.00000000,0.58590491,-0.33234413,5.21849700,44.67508789,37.82437942
49.00000000,0.58356201,-0.33433436,5.21650677,44.58567574,37.73519335
49.00000000,0.58356201,-0.33433436,5.21650677,44.58567574,37.73519335
55.00000000,0.55915308,-0.38560778,5.19111610,43.64326245,37.00618062
55.00000000,0.55915308,-0.38560778,5.19111610,43.64326245,37.00618062
55.00000000,0.55915308,-0.38560778,5.19111610,43.64326245,37.00618062
58.00000000,0.53569997,-0.40471076,5.17318169,42.71817163,36.34822057
58.00000000,0.53569997,-0.40471076,5.17318169,42.71817163,36.34822057
58.00000000,0.53569997,-0.40471076,5.17318169,42.71817163,36.34822057
58.00000000,0.53569997,-0.40471076,5.17318169,42.71817163,36.34822057
62.00000000,0.51067331,-0.41991437,5.14944629,41.70838991,35.52191147
62.00000000,0.51067331,-0.41991437,5.14944629,41.70838991,35.52191147
65.00000000,0.50536813,-0.43531760,5.14266286,41.49117873,35.27667976
65.00000000,0.50339671,-0.43838257,5.13959789,41.41017208,35.19571523
68.00000000,0.49842385,-0.46184179,5.13208378,41.20512670,35.03929552
68.00000000,0.49917434,-0.46115884,5.13276672,41.23613697,35.07015056
68.00000000,0.49917434,-0.46115884,5.13276672,41.23613697,35.07015056
71.00000000,0.49740523,-0.46225806,5.12957690,41.16300017,35.07002472
71.00000000,0.49421319,-0.46631664,5.12551832,41.03070836,34.94172198
75.00000000,0.49280866,-0.48041462,5.12087789,40.97236303,34.82902207
75.00000000,0.49016399,-0.48380955,5.11748296,40.86227545,34.72424737
75.00000000,0.49016399,-0.48380955,5.11748296,40.86227545,34.72424737
75.00000000,0.49016399,-0.48380955,5.11748296,40.86227545,34.72424737
81.00000000,0.42189853,-0.55412390,5.05531497,37.91018042,32.55913190
81.00000000,0.42189853,-0.55412390,5.05531497,37.91018042,32.55913190
81.00000000,0.42189853,-0.55412390,5.05531497,37.91018042,32.55913190
85.00000000,0.42814476,-0.57275156,5.05806164,38.18978050,32.73500197
