# samples,smse,msll,nlpd,rmse,mae
22.00000000,1.26137766,-0.75545718,5.71228571,54.73750139,42.18595337
25.00000000,1.22467596,-0.22921911,5.69013972,53.93528766,41.57731143
25.00000000,1.22467596,-0.22921911,5.69013972,53.93528766,41.57731143
29.00000000,1.22495475,-0.22451168,5.69484714,53.94142624,41.58916165
29.00000000,1.19801675,0.20988471,5.67558517,53.34501579,40.86542760
29.00000000,1.19801675,0.20988471,5.67558517,53.34501579,40.86542760
32.00000000,1.19801675,0.20988471,5.67558517,53.34501579,40.86542760
32.00000000,1.19137836,0.26750043,5.67456151,53.19701400,40.56670543
32.00000000,1.19137836,0.26750043,5.67456151,53.19701400,40.56670543
36.00000000,1.18077144,0.27865044,5.66723241,52.95967635,40.10268543
36.00000000,1.18078659,0.27867298,5.66725495,52.96001605,40.10355620
39.00000000,1.18048419,0.27930948,5.66789145,52.95323407,40.08507383
39.00000000,1.16830982,0.26061133,5.65444666,52.67947242,39.64903084
42.00000000,1.14893583,0.22393498,5.63221288,52.24085650,39.04180985
42.00000000,1.14877465,0.22406644,5.63234433,52.23719221,39.05059065
42.00000000,1.14877465,0.22406644,5.63234433,52.23719221,39.05059065
46.00000000,1.13318451,0.17721388,5.61253383,51.88152317,38.50142129
46.00000000,1.13318451,0.17721388,5.61253383,51.88152317,38.50142129
46.00000000,1.13318451,0.17721388,5.61253383,51.88152317,38.50142129
46.00000000,1.13318451,0.17721388,5.61253383,51.88152317,38.50142129
49.00000000,1.12702618,0.14195548,5.60229718,51.74035517,38.20837567
49.00000000,1.12702618,0.14195548,5.60229718,51.74035517,38.20837567
49.00000000,1.12702618,0.14195548,5.60229718,51.74035517,38.20837567
54.00000000,1.11598294,0.08199605,5.58340386,51.48624047,37.74188096
54.00000000,1.11601961,0.08218054,5.58358834,51.48708640,37.75805423
54.00000000,1.11601961,0.08218054,5.58358834,51.48708640,37.75805423
54.00000000,1.11601961,0.08218054,5.58358834,51.48708640,37.75805423
58.00000000,1.10808696,0.03509648,5.56805694,51.30377536,37.46867227
62.00000000,1.10104739,-0.02054621,5.55705516,51.14055167,37.18166243
62.00000000,1.09936916,-0.02627422,5.55132716,51.10156222,37.11530607
62.00000000,1.09936916,-0.02627422,5.55132716,51.10156222,37.11530607
64.00000000,1.09636393,-0.05625300,5.54410218,51.03166890,36.97191109
64.00000000,1.09636393,-0.05625300,5.54410218,51.03166890,36.97191109
64.00000000,1.09636393,-0.05625300,5.54410218,51.03166890,36.97191109
64.00000000,1.09636393,-0.05625300,5.54410218,51.03166890,36.97191109
67.00000000,1.09518282,-0.09122876,5.53776471,51.00417348,36.91523259
67.00000000,1.09518282,-0.09122876,5.53776471,51.00417348,36.91523259
67.00000000,1.09518282,-0.09122876,5.53776471,51.00417348,36.91523259
70.00000000,1.09064692,-0.08957993,5.52786952,50.89844231,36.65929991
70.00000000,1.09064692,-0.08957993,5.52786952,50.89844231,36.65929991
70.00000000,1.09064692,-0.08957993,5.52786952,50.89844231,36.65929991
70.00000000,1.09064692,-0.08957993,5.52786952,50.89844231,36.65929991
70.00000000,1.09064692,-0.08957993,5.52786952,50.89844231,36.65929991
73.00000000,1.08593965,-0.06073079,5.51727096,50.78848386,36.34541246
73.00000000,1.08593965,-0.06073079,5.51727096,50.78848386,36.34541246
76.00000000,1.08593965,-0.06073079,5.51727096,50.78848386,36.34541246
76.00000000,1.08033125,-0.03704254,5.50544809,50.65716383,35.97095524
76.00000000,1.08033125,-0.03704254,5.50544809,50.65716383,35.97095524
76.00000000,1.08033125,-0.03704254,5.50544809,50.65716383,35.97095524
79.00000000,1.07445915,-0.00904857,5.49317486,50.51930384,35.50250410
79.00000000,1.07445915,-0.00904857,5.49317486,50.51930384,35.50250410
79.00000000,1.07445915,-0.00904857,5.49317486,50.51930384,35.50250410
82.00000000,1.07192180,0.01131899,5.48652673,50.45961763,35.30419059
82.00000000,1.07192180,0.01131899,5.48652673,50.45961763,35.30419059
82.00000000,1.07192180,0.01131899,5.48652673,50.45961763,35.30419059
86.00000000,1.07192180,0.01131899,5.48652673,50.45961763,35.30419059
86.00000000,1.06567178,0.01990116,5.47534910,50.31229582,34.83616922
86.00000000,1.06567178,0.01990116,5.47534910,50.31229582,34.83616922
86.00000000,1.06567178,0.01990116,5.47534910,50.31229582,34.83616922
86.00000000,1.06567178,0.01990116,5.47534910,50.31229582,34.83616922
90.00000000,1.06104903,0.02123821,5.46752145,50.20305295,34.43249175
90.00000000,1.06029911,0.02137884,5.46766208,50.18530892,34.40555229
90.00000000,1.06029911,0.02137884,5.46766208,50.18530892,34.40555229
93.00000000,1.05847276,0.02269672,5.46744552,50.14206851,34.26801768
93.00000000,1.05847276,0.02269672,5.46744552,50.14206851,34.26801768
99.00000000,1.04969500,0.01297832,5.46205064,49.93372518,33.58973070
99.00000000,1.04969500,0.01297832,5.46205064,49.93372518,33.58973070
99.00000000,1.04969500,0.01297832,5.46205064,49.93372518,33.58973070
103.00000000,1.04503672,0.00421813,5.46063633,49.82280528,33.12125931
103.00000000,1.04503672,0.00421813,5.46063633,49.82280528,33.12125931
103.00000000,1.04503672,0.00421813,5.46063633,49.82280528,33.12125931
106.00000000,1.04517428,0.00006530,5.46393680,49.82608437,32.87937287
106.00000000,1.04517428,0.00006530,5.46393680,49.82608437,32.87937287
106.00000000,1.04517428,0.00006530,5.46393680,49.82608437,32.87937287
110.00000000,1.03078440,-0.01845111,5.45874138,49.48189487,32.38704526
110.00000000,1.03078440,-0.01845111,5.45874138,49.48189487,32.38704526
113.00000000,1.02676545,-0.02429387,5.45733214,49.38533735,31.88766579
113.00000000,1.02676545,-0.02429387,5.45733214,49.38533735,31.88766579
116.00000000,1.02604470,-0.03007405,5.46023546,49.36800113,31.86087296
116.00000000,1.02558427,-0.03163303,5.45867648,49.35692301,31.84353185
