# samples,smse,msll,nlpd,rmse,mae
45.00000000,0.38486201,-0.18423602,5.15738541,30.32383268,23.76719121
45.00000000,0.37739432,-0.19834793,5.14327350,30.02819641,23.45876786
49.00000000,0.37739432,-0.19834793,5.14327350,30.02819641,23.45876786
49.00000000,0.41675913,-0.18726642,5.14085411,31.55543205,24.28620589
49.00000000,0.41675913,-0.18726642,5.14085411,31.55543205,24.28620589
49.00000000,0.41675913,-0.18726642,5.14085411,31.55543205,24.28620589
52.00000000,0.40193459,-0.20147412,5.12821768,30.98912137,24.16195143
52.00000000,0.39690561,-0.20595077,5.12374103,30.79464402,23.93151350
56.00000000,0.39040597,-0.23788423,5.11591043,30.54146003,23.96666271
56.00000000,0.38595637,-0.24915880,5.10463586,30.36691509,23.76335096
56.00000000,0.38595637,-0.24915880,5.10463586,30.36691509,23.76335096
65.00000000,0.38595637,-0.25117883,5.10261583,30.36691509,23.76335096
65.00000000,0.35771105,-0.37405035,5.06405026,29.23463992,22.90686835
65.00000000,0.35647952,-0.37654906,5.06155155,29.18427197,22.82684619
65.00000000,0.35647952,-0.37654906,5.06155155,29.18427197,22.82684619
69.00000000,0.31489947,-0.44056057,5.03076733,27.42947750,21.79170516
69.00000000,0.31560567,-0.43996306,5.03136483,27.46021709,21.82892911
69.00000000,0.31560567,-0.43996306,5.03136483,27.46021709,21.82892911
73.00000000,0.29131062,-0.51027884,5.01055960,26.38212213,20.95441283
73.00000000,0.29090093,-0.51409663,5.00674181,26.36356412,20.92285988
73.00000000,0.29090093,-0.51409663,5.00674181,26.36356412,20.92285988
76.00000000,0.28716080,-0.54706331,4.99862698,26.19353720,20.73610079
76.00000000,0.28693287,-0.55066844,4.99502186,26.18313973,20.71212664
80.00000000,0.28693287,-0.55066844,4.99502186,26.18313973,20.71212664
80.00000000,0.28494076,-0.57329044,4.98082735,26.09208932,20.56905726
85.00000000,0.28159184,-0.56158566,4.97276374,25.93830553,20.42510895
85.00000000,0.28030040,-0.57459925,4.95975015,25.87875785,20.31539720
88.00000000,0.27979938,-0.57755016,4.95679924,25.85561911,20.27968308
88.00000000,0.26576259,-0.57357544,4.94187239,25.19872059,19.52560952
88.00000000,0.26576259,-0.57357544,4.94187239,25.19872059,19.52560952
91.00000000,0.25594737,-0.57256749,4.92526053,24.72901993,18.86094442
91.00000000,0.25647764,-0.57218994,4.92563808,24.75462342,18.90201356
91.00000000,0.25647764,-0.57218994,4.92563808,24.75462342,18.90201356
91.00000000,0.25647764,-0.57218994,4.92563808,24.75462342,18.90201356
95.00000000,0.24936818,-0.56785518,4.90932567,24.40911802,18.27846352
95.00000000,0.24946759,-0.57107025,4.90611059,24.41398298,18.27307144
98.00000000,0.24762370,-0.57102878,4.89288969,24.32358977,18.01862901
98.00000000,0.24762370,-0.57102878,4.89288969,24.32358977,18.01862901
98.00000000,0.24762370,-0.57102878,4.89288969,24.32358977,18.01862901
98.00000000,0.24762370,-0.57102878,4.89288969,24.32358977,18.01862901
102.00000000,0.24661359,-0.57515063,4.87324189,24.27392887,17.85355195
102.00000000,0.24698211,-0.57462445,4.87376807,24.29205830,17.87377625
102.00000000,0.24698211,-0.57462445,4.87376807,24.29205830,17.87377625
107.00000000,0.24698211,-0.57462445,4.87376807,24.29205830,17.87377625
107.00000000,0.24748840,-0.58184125,4.85101902,24.31694403,17.83054803
107.00000000,0.24748840,-0.58184125,4.85101902,24.31694403,17.83054803
107.00000000,0.24748840,-0.58184125,4.85101902,24.31694403,17.83054803
107.00000000,0.24748840,-0.58184125,4.85101902,24.31694403,17.83054803
115.00000000,0.24748840,-0.58184125,4.85101902,24.31694403,17.83054803
